Rainfallmm,Month,Year
74.1,Jul,1991
42.1,Aug,1991
82.4,Sep,1991
104.8,Oct,1991
135.5,Nov,1991
81.2,Dec,1991
77.4,Jan,1992
87.5,Feb,1992
125,Mar,1992
88,Apr,1992
57.3,May,1992
38.6,Jun,1992
84.2,Jul,1992
157.3,Aug,1992
115.5,Sep,1992
94.5,Oct,1992
158.5,Nov,1992
105,Dec,1992
171.2,Jan,1993
32.6,Feb,1993
57.8,Mar,1993
99.2,Apr,1993
95.8,May,1993
67,Jun,1993
91.8,Jul,1993
60.3,Aug,1993
97.5,Sep,1993
91.9,Oct,1993
72.4,Nov,1993
184.8,Dec,1993
151.5,Jan,1994
86.5,Feb,1994
142.5,Mar,1994
90.7,Apr,1994
48.6,May,1994
60.6,Jun,1994
52.8,Jul,1994
79.8,Aug,1994
101.1,Sep,1994
96.9,Oct,1994
105.7,Nov,1994
169.6,Dec,1994
176.6,Jan,1995
138.9,Feb,1995
92.3,Mar,1995
39.1,Apr,1995
57.9,May,1995
29,Jun,1995
56.2,Jul,1995
17.8,Aug,1995
132,Sep,1995
115.3,Oct,1995
97.9,Nov,1995
72.1,Dec,1995
73.5,Jan,1996
99.8,Feb,1996
48.2,Mar,1996
70.6,Apr,1996
64.1,May,1996
41.5,Jun,1996
53.8,Jul,1996
76.5,Aug,1996
43.9,Sep,1996
134.7,Oct,1996
145.4,Nov,1996
65.9,Dec,1996
29,Jan,1997
163.7,Feb,1997
65.5,Mar,1997
41.9,Apr,1997
85,May,1997
112.6,Jun,1997
62.3,Jul,1997
81.5,Aug,1997
60.7,Sep,1997
71.7,Oct,1997
120.8,Nov,1997
130.8,Dec,1997
131,Jan,1998
79.8,Feb,1998
103.5,Mar,1998
116.6,Apr,1998
40.4,May,1998
118.8,Jun,1998
90.1,Jul,1998
76.8,Aug,1998
90.9,Sep,1998
183.5,Oct,1998
116.2,Nov,1998
119.5,Dec,1998
160.3,Jan,1999
81.2,Feb,1999
87.1,Mar,1999
85.9,Apr,1999
73.6,May,1999
90.8,Jun,1999
44.9,Jul,1999
89.6,Aug,1999
137.1,Sep,1999
91.7,Oct,1999
106.7,Nov,1999
190.3,Dec,1999
99.7,Jan,2000
127.7,Feb,2000
66.5,Mar,2000
120.3,Apr,2000
75.7,May,2000
56.8,Jun,2000
57.5,Jul,2000
82.6,Aug,2000
130.4,Sep,2000
194.8,Oct,2000
172.7,Nov,2000
152.6,Dec,2000
79.4,Jan,2001
97.1,Feb,2001
85.7,Mar,2001
89.6,Apr,2001
43.3,May,2001
58.2,Jun,2001
81.8,Jul,2001
96.9,Aug,2001
89.1,Sep,2001
165.8,Oct,2001
95.5,Nov,2001
70.4,Dec,2001
135.1,Jan,2002
175.6,Feb,2002
75.7,Mar,2002
68.2,Apr,2002
101.7,May,2002
86.9,Jun,2002
98.5,Jul,2002
73.9,Aug,2002
40.9,Sep,2002
154.3,Oct,2002
163.8,Nov,2002
109.2,Dec,2002
114.6,Jan,2003
48.6,Feb,2003
54,Mar,2003
50.6,Apr,2003
98,May,2003
71.1,Jun,2003
78.2,Jul,2003
27.1,Aug,2003
54.3,Sep,2003
64.5,Oct,2003
121,Nov,2003
122.2,Dec,2003
152.2,Jan,2004
74.5,Feb,2004
70.4,Mar,2004
93.1,Apr,2004
51.1,May,2004
85,Jun,2004
